Model,Feature set,Region,support,positives,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,ROC-AUC,Brier,threshold,evaluation_type,is_primary
FWI-only CatBoost,fire-weather variables only,Far East,10457,1230,0.1763602251,0.8406504065,0.2915550543,0.0032365605,0.2932767477,0.0041822887,0.7423174829,0.2134775695,0.464663872,,
CatBoost deployment-weighted,all features,Far East,10457,1230,0.1527777778,0.912195122,0.2617214836,0.0013629158,0.239017155,0.0067407895,0.7074881864,0.2209926287,0.4626545382,,
Weather-only CatBoost,meteorology/history features only,Far East,10457,1230,0.2313341493,0.4609756098,0.3080684597,0.005045978,0.2082782965,0.0042032144,0.6995410694,0.2442261691,0.500519092,,
Logistic Regression (linear SGD),full features,Far East,10457,1230,0.1788507822,0.9666666667,0.3018532622,0.0011288084,0.1779513973,0.00087431,0.6896973446,0.563954308,1.0,,
Spatial climate TSN-MLP (global full),global full NN features,Global,321173,49514,0.5204029454,0.8221513107,0.6373671108,0.0028076675,0.6915402662,0.0026667909,0.9151716112,0.0926744533,0.4269461036,legacy_sampled_case_control,0.0
Spatial climate TSN embedding fusion (global full),global full NN features,Global,321173,49514,0.5260982320340165,0.8071252575029285,0.6369932338197438,0.0038155537609292,0.6842151142154513,0.0055977531835025,0.9173283276188284,0.091563874291233,0.4300945103168487,legacy_sampled_case_control,0.0
Spatial climate TSN-MLP no tp (ERA5 global full),global full NN features,Global,321173,49514,0.5186339879,0.7996122309,0.629178486,0.0051908666,0.6712284232,0.0052494319,0.9071885802,0.0869476483,0.3871046007,legacy_sampled_case_control,0.0
CatBoost,all features,Global,321173,49514,0.399622775,0.8215858141,0.5377040513,0.0031623893,0.5620243065,0.0069958366,0.8765072244000001,0.1444730512,0.497643269,,
Random Forest,full features,Global,321173,49514,0.3244318645,0.8842953508,0.4747036152,0.0011276203,0.5107925824,0.0050997317,0.8590458423,0.1054641811,0.2174188197,,
Spatial climate TSN-MLP (ECMWF global full),global full NN features,Global,321173,49514,0.3023630655,0.8713899099,0.4489464648,0.0020098685,0.4981894773,0.006011489,0.8456781622,0.1185037453,0.2851233482,legacy_sampled_case_control,0.0
LSTM gated MoE (global full),global full NN features,Global,321173,49514,0.337275942,0.8379448237,0.4809626208,0.0021216406,0.4904584759,0.0095248928,0.8499677015,0.114308621,0.2481723875,legacy_sampled_case_control,0.0
