experiment_id,experiment_type,model,feature_set,split,region,region_display,support,positives,threshold,metric,value
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,central_asia,Central Asia,9281,411,0.14228679239749908,roc_auc,0.8622140021999304
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,europe,Europe,10456,494,0.14228679239749908,roc_auc,0.9211034319076458
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,global,Global,65063,9134,0.14228679239749908,roc_auc,0.7758673604613107
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,eastern_siberia,Eastern Siberia,26660,6189,0.14228679239749908,roc_auc,0.7236246359456325
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,far_east,Far East,2229,298,0.14228679239749908,roc_auc,0.8061963234961891
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,central_asia,Central Asia,9003,187,0.14228679239749908,roc_auc,0.888543678484428
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,europe,Europe,10472,493,0.14228679239749908,roc_auc,0.8508104341632642
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,global,Global,49672,3787,0.14228679239749908,roc_auc,0.888188332854386
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,eastern_siberia,Eastern Siberia,19162,2442,0.14228679239749908,roc_auc,0.9009435163741384
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,far_east,Far East,1744,137,0.14228679239749908,roc_auc,0.9281110470160202
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,central_asia,Central Asia,7618,304,0.14228679239749908,roc_auc,0.7653990004749363
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,europe,Europe,8878,632,0.14228679239749908,roc_auc,0.8549009761541461
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,global,Global,206438,36593,0.14228679239749908,roc_auc,0.8559952465641798
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,eastern_siberia,Eastern Siberia,82438,22636,0.14228679239749908,roc_auc,0.831821199435075
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,far_east,Far East,6484,795,0.14228679239749908,roc_auc,0.8462890428510941
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,central_asia,Central Asia,29340,2012,0.14228679239749908,roc_auc,0.8405144277048483
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,europe,Europe,32712,1723,0.14228679239749908,roc_auc,0.8861312011056213
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,global,Global,321173,49514,0.14228679239749908,roc_auc,0.8474137431890454
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,eastern_siberia,Eastern Siberia,128260,31267,0.14228679239749908,roc_auc,0.8219354830798014
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,far_east,Far East,10457,1230,0.14228679239749908,roc_auc,0.8510371206454017
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,central_asia,Central Asia,45961,2503,0.14228679239749908,roc_auc,0.8402359986369708
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,europe,Europe,52062,2848,0.14228679239749908,roc_auc,0.873528201102226
random_forest_full,main_model_comparison,Random Forest,full features,validation,global,Global,147424,28826,0.14228679239749908,brier_score,0.1439559656069288
random_forest_full,main_model_comparison,Random Forest,full features,test,global,Global,321173,49514,0.14228679239749908,brier_score,0.10800166629234685
random_forest_full,main_model_comparison,Random Forest,full features,test,eastern_siberia,Eastern Siberia,128260,31267,0.14228679239749908,brier_score,0.14448179576612918
