Region,Year,Model,F1,F1 Error,PR-AUC,PR-AUC Error
Europe,2025,Poisson Point-Process GLM,0.2936,0.0089,0.2204,0.0094
Europe,2025,Random Forest,0.3373,0.0107,0.2601,0.0059
Europe,2025,Spatial climate TSN-MLP (ECMWF global full),0.2966,0.0035,0.2884,0.0124
Europe,2025,Spatial climate TSN-MLP (global full),0.1703,0.0097,0.1486,0.012
Europe,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.1509,0.0149,0.1617,0.01
Europe,2025,TemporalConvNet / TSN-MLP (global full),0.2629,0.0039,0.2764,0.0119
Europe,2025,Weather-only CatBoost,0.2689,0.01,0.1677,0.0082
Far East,2021,CatBoost,0.4898,0.0133,0.5498,0.0192
Far East,2021,FT-Transformer (global full),0.3559,0.0086,0.521,0.019
Far East,2021,FWI-only CatBoost,0.3402,0.0117,0.3581,0.0114
Far East,2021,LSTM attention (global full),0.3897,0.0102,0.4541,0.0204
Far East,2021,LSTM gated MoE (global full),0.4161,0.0092,0.4653,0.0157
Far East,2021,LSTM static concat (global full),0.4341,0.0049,0.4751,0.041
Far East,2021,Logistic Regression (linear SGD),0.3085,0.0033,0.1823,0.0023
Far East,2021,Minimal MLP (global full),0.4087,0.0025,0.4883,0.0159
Far East,2021,Poisson Point-Process GLM,0.3903,0.0098,0.5213,0.0273
Far East,2021,Random Forest,0.4594,0.0159,0.6391,0.0201
Far East,2021,Spatial climate TSN-MLP (ECMWF global full),0.3891,0.0053,0.4495,0.0149
Far East,2021,Spatial climate TSN-MLP (global full),0.6422,0.0072,0.6779,0.0094
Far East,2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.6263,0.0101,0.6342,0.0212
Far East,2021,TemporalConvNet / TSN-MLP (global full),0.3348,0.0062,0.5039,0.0218
Far East,2021,Weather-only CatBoost,0.3226,0.0081,0.3033,0.0192
Far East,2022,CatBoost,0.4553,0.0264,0.4089,0.0193
Far East,2022,FT-Transformer (global full),0.2776,0.0062,0.2978,0.0221
Far East,2022,FWI-only CatBoost,0.2692,0.0114,0.2847,0.022
Far East,2022,LSTM attention (global full),0.346,0.0139,0.2537,0.0282
Far East,2022,LSTM gated MoE (global full),0.3623,0.0079,0.2872,0.0178
Far East,2022,LSTM static concat (global full),0.3275,0.0114,0.2352,0.0202
Far East,2022,Logistic Regression (linear SGD),0.2384,0.0033,0.1353,0.0022
Far East,2022,Minimal MLP (global full),0.3375,0.0097,0.2744,0.0139
Far East,2022,Poisson Point-Process GLM,0.2849,0.0119,0.2396,0.0236
Far East,2022,Random Forest,0.4,0.0179,0.4214,0.0461
Far East,2022,Spatial climate TSN-MLP (ECMWF global full),0.3176,0.0083,0.3091,0.0072
Far East,2022,Spatial climate TSN-MLP (global full),0.6344,0.0104,0.7222,0.0209
Far East,2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.642,0.0209,0.7054,0.0388
Far East,2022,TemporalConvNet / TSN-MLP (global full),0.2354,0.0039,0.3096,0.0391
Far East,2022,Weather-only CatBoost,0.2593,0.0047,0.2885,0.0158
Far East,2023,CatBoost,0.5626,0.0115,0.5194,0.0174
Far East,2023,FT-Transformer (global full),0.395,0.0034,0.4416,0.0132
Far East,2023,FWI-only CatBoost,0.3265,0.0086,0.3263,0.0331
Far East,2023,LSTM attention (global full),0.4179,0.0072,0.3808,0.0123
Far East,2023,LSTM gated MoE (global full),0.4382,0.0053,0.4418,0.0234
Far East,2023,LSTM static concat (global full),0.4498,0.0079,0.3971,0.0181
Far East,2023,Logistic Regression (linear SGD),0.3311,0.0049,0.199,0.0031
Far East,2023,Minimal MLP (global full),0.4316,0.0029,0.3869,0.0244
Far East,2023,Poisson Point-Process GLM,0.4136,0.0096,0.2755,0.0114
Far East,2023,Random Forest,0.4594,0.0135,0.4164,0.03
Far East,2023,Spatial climate TSN-MLP (ECMWF global full),0.3836,0.0065,0.3621,0.0139
Far East,2023,Spatial climate TSN-MLP (global full),0.5876,0.0157,0.6437,0.0362
Far East,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.5714,0.0092,0.6699,0.0429
Far East,2023,TemporalConvNet / TSN-MLP (global full),0.3247,0.0032,0.4607,0.0237
Far East,2023,Weather-only CatBoost,0.3924,0.0069,0.3358,0.0142
Far East,2024,CatBoost,0.3269,0.0063,0.313,0.013
Far East,2024,FT-Transformer (global full),0.376,0.0057,0.4159,0.0178
Far East,2024,FWI-only CatBoost,0.3347,0.0141,0.2649,0.0138
Far East,2024,LSTM attention (global full),0.3931,0.0115,0.3876,0.0242
Far East,2024,LSTM gated MoE (global full),0.406,0.0092,0.3798,0.0139
Far East,2024,LSTM static concat (global full),0.4431,0.0097,0.4004,0.0211
Far East,2024,Logistic Regression (linear SGD),0.2973,0.0025,0.1747,0.0017
Far East,2024,Minimal MLP (global full),0.4216,0.0065,0.3749,0.0118
Far East,2024,Poisson Point-Process GLM,0.3584,0.004,0.2672,0.0238
Far East,2024,Random Forest,0.4288,0.0096,0.3578,0.0206
Far East,2024,Spatial climate TSN-MLP (ECMWF global full),0.3689,0.0033,0.4539,0.0119
Far East,2024,Spatial climate TSN-MLP (global full),0.6197,0.0171,0.6642,0.0228
Far East,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.6386,0.0179,0.6524,0.0387
Far East,2024,TemporalConvNet / TSN-MLP (global full),0.3143,0.0038,0.3861,0.0078
Far East,2024,Weather-only CatBoost,0.2933,0.0088,0.1994,0.0085
Far East,2025,CatBoost,0.357,0.017,0.37,0.0424
Far East,2025,FT-Transformer (global full),0.2952,0.0092,0.5014,0.0407
Far East,2025,FWI-only CatBoost,0.247,0.0072,0.4051,0.0577
Far East,2025,LSTM attention (global full),0.3647,0.0057,0.5371,0.0432
Far East,2025,LSTM gated MoE (global full),0.3757,0.0045,0.4974,0.0317
Far East,2025,LSTM static concat (global full),0.4336,0.0179,0.4465,0.0392
Far East,2025,Logistic Regression (linear SGD),0.2059,0.0068,0.1154,0.0039
Far East,2025,Minimal MLP (global full),0.402,0.0107,0.3859,0.0238
Far East,2025,Poisson Point-Process GLM,0.2432,0.0111,0.3538,0.0413
Far East,2025,Random Forest,0.4768,0.0263,0.5445,0.0531
Far East,2025,Spatial climate TSN-MLP (ECMWF global full),0.34,0.0072,0.3702,0.0178
Far East,2025,Spatial climate TSN-MLP (global full),0.0339,0.0067,0.0625,0.0008
Far East,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.0287,0.0073,0.0567,0.0021
Far East,2025,TemporalConvNet / TSN-MLP (global full),0.2688,0.0058,0.4342,0.0385
Far East,2025,Weather-only CatBoost,0.2841,0.0173,0.2249,0.0247
