Region,Year,Feature Set,F1,PR-AUC,PR-AUC Error
Global,2021,full minus prior-fire/proximity features,0.6492,0.5415,0.0029
Global,2021,full minus roads/population/night lights,0.6588,0.6574,0.0023
Global,2021,full minus topography,0.719,0.7113,0.0026
Global,2021,meteorology plus fire-weather variables,0.5789,0.6213,0.0029
Global,2021,meteorology/history features only,0.5749,0.6346,0.0034
Global,2021,static non-weather features,0.6791,0.6623,0.0035
Global,2022,all features,0.4085,0.3399,0.0045
Global,2022,fire-weather variables only,0.2172,0.1563,0.0011
Global,2022,full minus >30-day weather-history windows,0.4561,0.3973,0.0034
Global,2022,full minus Gaussian road/light/population rasters,0.411,0.3366,0.0042
Global,2022,full minus direct geography/location variables,0.4085,0.3399,0.0045
Global,2022,full minus ecological/fuel variables,0.4317,0.3579,0.0036
Global,2022,full minus ecoregion categorical variables,0.4085,0.3399,0.0045
Global,2022,full minus lagged meteorology,0.3755,0.2853,0.0059
Global,2022,full minus month/day-of-year features,0.4165,0.3398,0.0039
Global,2022,full minus periodic seasonality encodings,0.4085,0.3399,0.0045
Global,2022,full minus prior-fire/proximity features,0.3451,0.2576,0.0024
Global,2022,full minus roads/population/night lights,0.3112,0.2108,0.0035
Global,2022,full minus topography,0.446,0.3758,0.0041
Global,2022,meteorology plus fire-weather variables,0.2615,0.1946,0.0016
Global,2022,meteorology/history features only,0.2443,0.1866,0.0021
Global,2022,static non-weather features,0.3698,0.2982,0.0062
Global,2023,all features,0.4786,0.5114,0.008
Global,2023,fire-weather variables only,0.2624,0.1834,0.0028
Global,2023,full minus >30-day weather-history windows,0.5258,0.5283,0.0062
Global,2023,full minus Gaussian road/light/population rasters,0.4771,0.5149,0.0083
Global,2023,full minus direct geography/location variables,0.4786,0.5114,0.008
Global,2023,full minus ecological/fuel variables,0.5463,0.5211,0.0083
Global,2023,full minus ecoregion categorical variables,0.4786,0.5114,0.008
Global,2023,full minus lagged meteorology,0.4106,0.3874,0.0096
Global,2023,full minus month/day-of-year features,0.4809,0.5091,0.0083
Global,2023,full minus periodic seasonality encodings,0.4786,0.5114,0.008
Global,2023,full minus prior-fire/proximity features,0.4127,0.3069,0.0021
Global,2023,full minus roads/population/night lights,0.4244,0.3855,0.0069
Global,2023,full minus topography,0.5536,0.5323,0.0078
Global,2023,meteorology plus fire-weather variables,0.318,0.2995,0.0057
Global,2023,meteorology/history features only,0.314,0.3095,0.0043
Global,2023,static non-weather features,0.4876,0.4399,0.0071
Global,2024,all features,0.4023,0.4244,0.0087
Global,2024,fire-weather variables only,0.3157,0.2463,0.0022
Global,2024,full minus >30-day weather-history windows,0.4134,0.4052,0.0084
Global,2024,full minus Gaussian road/light/population rasters,0.4,0.427,0.0093
Global,2024,full minus direct geography/location variables,0.4023,0.4244,0.0087
Global,2024,full minus ecological/fuel variables,0.4501,0.4285,0.0092
Global,2024,full minus ecoregion categorical variables,0.4023,0.4244,0.0087
Global,2024,full minus lagged meteorology,0.3441,0.2898,0.0053
Global,2024,full minus month/day-of-year features,0.4068,0.4261,0.0095
Global,2024,full minus periodic seasonality encodings,0.4023,0.4244,0.0087
Global,2024,full minus prior-fire/proximity features,0.3329,0.2233,0.0014
Global,2024,full minus roads/population/night lights,0.4795,0.4328,0.0068
Global,2024,full minus topography,0.45,0.4337,0.0089
Global,2024,meteorology plus fire-weather variables,0.3884,0.3914,0.0049
Global,2024,meteorology/history features only,0.3857,0.3843,0.0052
Global,2024,static non-weather features,0.3639,0.3405,0.0064
Global,2025,all features,0.2754,0.4286,0.0059
Global,2025,fire-weather variables only,0.1939,0.1866,0.0031
Global,2025,full minus >30-day weather-history windows,0.328,0.4286,0.0082
Global,2025,full minus Gaussian road/light/population rasters,0.2728,0.4261,0.0065
Global,2025,full minus direct geography/location variables,0.2754,0.4286,0.0059
Global,2025,full minus ecological/fuel variables,0.3761,0.4397,0.0074
Global,2025,full minus ecoregion categorical variables,0.2754,0.4286,0.0059
Global,2025,full minus lagged meteorology,0.2401,0.3348,0.0038
Global,2025,full minus month/day-of-year features,0.2772,0.4297,0.0057
Global,2025,full minus periodic seasonality encodings,0.2754,0.4286,0.0059
Global,2025,full minus prior-fire/proximity features,0.1928,0.1989,0.0026
Global,2025,full minus roads/population/night lights,0.3855,0.4045,0.0055
Global,2025,full minus topography,0.3784,0.4548,0.007
Global,2025,meteorology plus fire-weather variables,0.2607,0.324,0.0086
Global,2025,meteorology/history features only,0.2526,0.2647,0.0092
Global,2025,static non-weather features,0.2638,0.3979,0.0031
