region_display,model_name,period_start,period_end,observed_positive_locations,average_precision,spatial_tolerant_average_precision,spatial_tolerant_weighted_brier_score
Europe,Spatial climate TSN-MLP (global full),2022-04-13,2022-04-15,1,1.0,1.0,0.0388
Global,Spatial climate TSN-MLP (global full),2021-03-17,2021-03-19,6,1.0,1.0,0.0193
Europe,Spatial climate TSN-MLP (global full),2023-11-07,2023-11-09,1,1.0,1.0,0.0144
Europe,Spatial climate TSN-MLP (global full),2024-02-23,2024-02-25,1,1.0,1.0,0.0186
Europe,Spatial climate TSN-MLP (global full),2024-02-22,2024-02-24,1,1.0,1.0,0.0157
Europe,Spatial climate TSN-MLP (global full),2024-02-21,2024-02-23,1,1.0,1.0,0.0149
Europe,Spatial climate TSN-MLP (global full),2023-12-27,2023-12-29,1,1.0,1.0,0.0169
Global,Spatial climate TSN-MLP (global full),2021-01-22,2021-01-24,1,1.0,1.0,0.0077
Global,Spatial climate TSN-MLP (global full),2021-03-18,2021-03-20,4,1.0,1.0,0.0162
Europe,Spatial climate TSN-MLP (global full),2024-03-01,2024-03-03,1,1.0,1.0,0.0249
Europe,Spatial climate TSN-MLP (global full),2024-02-29,2024-03-02,3,1.0,1.0,0.0232
Far East,Spatial climate TSN-MLP (global full),2021-10-16,2021-10-18,2,1.0,1.0,0.0899
Far East,Spatial climate TSN-MLP (global full),2022-03-27,2022-03-29,1,1.0,1.0,0.0271
Far East,Spatial climate TSN-MLP (global full),2022-03-26,2022-03-28,1,1.0,1.0,0.0288
Far East,Spatial climate TSN-MLP (global full),2021-04-30,2021-05-02,1,1.0,1.0,0.0494
Far East,Spatial climate TSN-MLP (global full),2021-03-17,2021-03-19,4,1.0,1.0,0.1186
Far East,Spatial climate TSN-MLP (global full),2021-03-16,2021-03-18,3,1.0,1.0,0.0919
Far East,Spatial climate TSN-MLP (global full),2021-03-29,2021-03-31,1,1.0,1.0,0.0297
Europe,Spatial climate TSN-MLP (global full),2023-11-06,2023-11-08,1,1.0,1.0,0.0151
Far East,Spatial climate TSN-MLP (global full),2021-03-22,2021-03-24,7,1.0,1.0,0.2295
Far East,Spatial climate TSN-MLP (global full),2021-03-21,2021-03-23,7,1.0,1.0,0.2092
Far East,Spatial climate TSN-MLP (global full),2021-03-19,2021-03-21,1,1.0,1.0,0.0427
Far East,Spatial climate TSN-MLP (global full),2021-03-18,2021-03-20,2,1.0,1.0,0.0625
Far East,Spatial climate TSN-MLP (global full),2021-11-13,2021-11-15,3,1.0,1.0,0.0954
Far East,Spatial climate TSN-MLP (global full),2021-09-19,2021-09-21,1,1.0,1.0,0.0887
Far East,Spatial climate TSN-MLP (global full),2021-09-18,2021-09-20,1,1.0,1.0,0.0746
Far East,Spatial climate TSN-MLP (global full),2022-02-03,2022-02-05,2,1.0,1.0,0.0452
Far East,Spatial climate TSN-MLP (global full),2021-09-22,2021-09-24,1,1.0,1.0,0.0786
Far East,Spatial climate TSN-MLP (global full),2021-09-21,2021-09-23,1,1.0,1.0,0.0797
Far East,Spatial climate TSN-MLP (global full),2021-09-20,2021-09-22,1,1.0,1.0,0.0509
Far East,Spatial climate TSN-MLP (global full),2021-09-17,2021-09-19,1,1.0,1.0,0.0711
Far East,Spatial climate TSN-MLP (global full),2022-01-27,2022-01-29,3,1.0,1.0,0.0828
Far East,Spatial climate TSN-MLP (global full),2022-01-26,2022-01-28,3,1.0,1.0,0.0828
Far East,Spatial climate TSN-MLP (global full),2022-01-25,2022-01-27,3,1.0,1.0,0.1286
Far East,Spatial climate TSN-MLP (global full),2021-11-15,2021-11-17,3,1.0,1.0,0.1026
Europe,Spatial climate TSN-MLP (global full),2023-10-06,2023-10-08,2,1.0,1.0,0.0283
Europe,Spatial climate TSN-MLP (global full),2025-03-30,2025-04-01,1,1.0,1.0,0.0496
Global,Spatial climate TSN-MLP (global full),2024-03-03,2024-03-05,2,1.0,1.0,0.0163
Global,Spatial climate TSN-MLP (global full),2024-03-02,2024-03-04,3,1.0,1.0,0.0164
Europe,Spatial climate TSN-MLP (global full),2023-03-11,2023-03-13,1,1.0,1.0,0.0293
Europe,Spatial climate TSN-MLP (global full),2023-02-25,2023-02-27,1,1.0,1.0,0.0172
Global,Spatial climate TSN-MLP (global full),2023-12-27,2023-12-29,1,1.0,1.0,0.0083
Global,Spatial climate TSN-MLP (global full),2023-12-26,2023-12-28,1,1.0,1.0,0.008
Global,Spatial climate TSN-MLP (global full),2024-02-22,2024-02-24,1,1.0,1.0,0.0092
Global,Spatial climate TSN-MLP (global full),2024-02-21,2024-02-23,1,1.0,1.0,0.0106
Europe,Spatial climate TSN-MLP (global full),2024-04-10,2024-04-12,2,1.0,1.0,0.078
Europe,Spatial climate TSN-MLP (global full),2024-04-09,2024-04-11,2,1.0,1.0,0.0679
Europe,Spatial climate TSN-MLP (global full),2022-09-17,2022-09-19,1,1.0,1.0,0.02
Europe,Spatial climate TSN-MLP (global full),2024-03-10,2024-03-12,1,1.0,1.0,0.0289
Europe,Spatial climate TSN-MLP (global full),2022-04-03,2022-04-05,1,1.0,1.0,0.038
Europe,Spatial climate TSN-MLP (global full),2022-04-02,2022-04-04,1,1.0,1.0,0.0535
Europe,Spatial climate TSN-MLP (global full),2022-04-01,2022-04-03,1,1.0,1.0,0.0644
Europe,Spatial climate TSN-MLP (global full),2022-02-23,2022-02-25,1,1.0,1.0,0.0342
Europe,Spatial climate TSN-MLP (global full),2022-02-22,2022-02-24,1,1.0,1.0,0.0246
Europe,Spatial climate TSN-MLP (global full),2022-02-21,2022-02-23,2,1.0,1.0,0.0301
Global,Spatial climate TSN-MLP (global full),2024-03-01,2024-03-03,3,1.0,1.0,0.0159
Global,Spatial climate TSN-MLP (global full),2024-02-29,2024-03-02,5,1.0,1.0,0.0153
Europe,Spatial climate TSN-MLP (global full),2022-03-03,2022-03-05,10,1.0,1.0,0.0327
