Region,Year,Variant,F1,PR-AUC,PR-AUC Error
Global,2024,FT-Transformer (global full),0.366,0.2843,0.0048
Global,2024,LSTM attention (global full),0.3886,0.3294,0.0038
Global,2024,LSTM gated MoE (global full),0.4009,0.3469,0.0047
Global,2024,LSTM static concat (global full),0.4118,0.3436,0.0043
Global,2024,Minimal MLP (global full),0.4311,0.3565,0.004
Global,2024,Spatial climate TSN-MLP (ECMWF global full),0.3801,0.3365,0.0025
Global,2024,Spatial climate TSN-MLP (global full),0.6137,0.6382,0.005
Global,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.6184,0.6369,0.0058
Global,2024,TemporalConvNet / TSN-MLP (global full),0.341,0.3201,0.0063
Global,2025,FT-Transformer (global full),0.2928,0.3202,0.005
Global,2025,LSTM attention (global full),0.3223,0.3307,0.0051
Global,2025,LSTM gated MoE (global full),0.3279,0.3529,0.0096
Global,2025,LSTM static concat (global full),0.374,0.3504,0.009
Global,2025,Minimal MLP (global full),0.3524,0.3527,0.0102
Global,2025,Spatial climate TSN-MLP (ECMWF global full),0.3157,0.3094,0.0013
Global,2025,Spatial climate TSN-MLP (global full),0.0434,0.0868,0.0017
Global,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.0408,0.0778,0.0014
Global,2025,TemporalConvNet / TSN-MLP (global full),0.2451,0.4086,0.0041
